TITLE,CATEGORY,TYPE,MEDIUM,FRAME,PHOTO URL LINK,ARTIST,CONTRACTOR,FOUNDER,ARCHITECT,CARVER,DESIGNER,DATE,OBJECT HEIGHT (IN),OBJECT WIDTH (IN),OBJECT DEPTH (IN),OBJECT DIAMETER (IN),BASE HEIGHT (IN),BASE WIDTH (IN),BASE DEPTH (IN),BASE DIAMETER (IN),PLAQUE INSCRIPTION,SITE,STREET ADDRESS,CITY,ZIP CODE,STATE,LATITUDE,LONGITUDE,LOCATION,nbhdname,objectid
BAROMETER,DECORATIVE OBJECTS,BAROMETER,WOOD AND GLASS,false,UNKNOWN,J HULLEMERURCH,,,,,,,,,,,,,,,,502 CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
COUNCIL PRESIDENT WILLIAM P FISHER,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/WILLIAM%20FISHER.HTML,CHARLES ODDO,,,,,,01/01/1944 12:00:00 AM,21.125,18.0625,,,,,,,,COUNCIL CHAMBER CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
MCMILLAN FOUNTAIN,DECORATIVE OBJECTS,FOUNTAIN,GRANITE,false,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MCMILLAN%20FOUNTAIN.HTML,UNKNOWN,,,,,,09/12/1905 12:00:00 AM,120,60,72.996,,,,,,,DELAWARE PARK,MEADOW DRIVE,BUFFALO,"14216",NY,42.933718,-78.872928,"(42.933718, -78.872928)",Parkside,13.0000000000000000000000000000000
DELAWARE PARK PLAQUE I,DECORATIVE OBJECTS,PLAQUE,BRONZE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/DELAWARE%20PARK%20I.HTML,UNKNOWN,,,,,,,21,30,,,30,36,"30",,"DELAWARE PARK WAS DESIGNED BY FREDERICK LAW OLMSTED AND CALVERT VAUX AS THE PRINCIPAL PUBLIC PARK WITHIN AN OVERALL SYSTEM OF PARKS, PARKWAYS AND PUBLIC SPACES PLANNED FOR THE CITY OF BUFFALO BETWEEN 1868 & 1898. THE PARK SYSTEM ALSO INCLUDED THE ""PARADE"" (NOW MARTIN LUTHER KING PARK), FRONT, RIVERSIDE, CAZENOVIA AND SOUTH PARKS IN ADDITION TO THE SYSTEM OF CONNECTING PARKWAYS. THESE PARKS AND PARKWAYS ARE LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES.",DELAWARE PARK,MEADOW DRIVE,BUFFALO,"14216",NY,42.933451,-78.869458,"(42.933451, -78.869458)",Parkside,13.0000000000000000000000000000000
JOHNSON PARK,DECORATIVE OBJECTS,PLAQUE,BRONZE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JOHNSON%20PARK%20PLAQUE.HTML,UNKNOWN,,,,,,,,,,,,,,,"IN HONOR OF DR. EBENEZER JOHNSON, FIRST MAYOR OF BUFFALO, 1832 - SESQUICENTENNIAL - 1982. DEDICATED BY STUDENTS OF HUTCH - TECH H.S. MAY 1982.",JOHNSON PARK,JOHNSON PARK,BUFFALO,"14201",NY,42.892726,-78.878924,"(42.892726, -78.878924)",Lower West Side,2.0000000000000000000000000000000
MAYOR CHANDLER J WELLS,PAINTINGS,PORTRAIT,OIL ON CANVAS,true,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CHANDLER%20WELLS.HTML,ALVAH BRADISH,,,,,,,35.5,30,,,,,,,,2ND FLOOR STORAGE CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
SESQUICENTENNIAL TIME CAPSULE,DECORATIVE OBJECTS,TIME CAPSULE,MIXED MEDIA IN GRANITE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/SESQUICENTENNIAL%20TIME%20CAPSULE.HTML,UNKNOWN,,,,,,01/01/1982 12:00:00 AM,36,93,39,,6,105,"51",,"SESQUICENTENNIAL TIME CAPSULE, 1832 - 1982",BUFFALO CITY COURT BUILDING,50 DELAWARE AVE,BUFFALO,"14202",NY,42.885709,-78.87959,"(42.885709, -78.87959)",Central,1.0000000000000000000000000000000
ISOCHRONIC MOUNTAIN BUFFALO,SCULPTURE,FIGURATIVE,CERAMIC,false,UNKNOWN,JOSHUA G STEIN,,,,,,06/04/2019 12:00:00 AM,,,,,,,,,,28TH FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
WWII VETERANS MEMORIAL,SCULPTURE,RELIEF,GRANITE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/WWII%20VETERANS%20MEMORIAL.HTML,UNKNOWN,,,,,,01/01/1947 12:00:00 AM,120,120,96,,,,,,"TO HONOR THE MEN AND WOMEN OF THIS COMMUNITY WHO SERVED OUR COUNTRY IN THE SECOND WORLD WAR, 1941-1945. ERECTED BY THE E. CLINTON COMMUNITY SOLDIERS FUND COMMITTEE.",HOUGHTON-STACHOWSKI PARK,CLINTON ST,BUFFALO,"14206",NY,42.871691,-78.813918,"(42.871691, -78.813918)",Kaisertown,32.0000000000000000000000000000000
CITY HALL FRIEZE WEST,SCULPTURE,RELIEF,STONE,false,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CITY%20HALL%20FRIEZE%20WEST.HTML,ALBERT STEWART,,,,,,01/01/1931 12:00:00 AM,144,1200,,,,,,,,CITY HALL,65 NIAGARA SQUARE,BUFFALO,"14202",NY,42.886641,-78.879354,"(42.886641, -78.879354)",Central,1.0000000000000000000000000000000
