aland10,ameri_es,asian,awater10,black,city,county,countyfp10,funcstat10,geoid10,geoid10_1,globalid,hawn_pi,hispanic,hse_units,intptlat10,intptlon10,mtfcc10,multi_race,name10,namelsad10,non_hispan,objectid,occup,other,pst_cd,shape_star,shape_stle,state,statefp10,sumlev,total_pop,tract,tractce10,vacant,white,nbhdname,objectid_2
1217600.0000000000000000000000000000000,39.0000000000000000000000000000000,49.0000000000000000000000000000000,0.0000000000000000000000000000000,215.0000000000000000000000000000000,,"029","029",S,"36029000200","36029000200",{07E531ED-2B29-45FC-A79D-9AC8F72D4375},1.0000000000000000000000000000000,577.0000000000000000000000000000000,1922.0000000000000000000000000000000,"+42.8528428","-078.8279078",G5020,119.0000000000000000000000000000000,"2",Census Tract 2,3499.0000000000000000000000000000000,23.0000000000000000000000000000000,1678.0000000000000000000000000000000,168.0000000000000000000000000000000,,0.0001340977194723018449742935054,0.0553793864694680643134816477868,"36","36","140",4076.0000000000000000000000000000000,"000200","000200",244.0000000000000000000000000000000,3485.0000000000000000000000000000000,Hopkins-Tifft,33.0000000000000000000000000000000
1101376.0000000000000000000000000000000,8.0000000000000000000000000000000,17.0000000000000000000000000000000,0.0000000000000000000000000000000,1847.0000000000000000000000000000000,,"029","029",S,"36029002502","36029002502",{0A97DD41-DEEE-40D8-820D-0F4DBCA8B2CB},0.0000000000000000000000000000000,119.0000000000000000000000000000000,1092.0000000000000000000000000000000,"+42.8928297","-078.8618296",G5020,52.0000000000000000000000000000000,"25.02",Census Tract 25.02,2068.0000000000000000000000000000000,22.0000000000000000000000000000000,930.0000000000000000000000000000000,59.0000000000000000000000000000000,,0.0001213750098088626615949747745,0.0539158262068424112833930905708,"36","36","140",2187.0000000000000000000000000000000,"002502","002502",162.0000000000000000000000000000000,204.0000000000000000000000000000000,Pratt-Willert,29.0000000000000000000000000000000
774118.0000000000000000000000000000000,18.0000000000000000000000000000000,37.0000000000000000000000000000000,0.0000000000000000000000000000000,241.0000000000000000000000000000000,,"029","029",S,"36029002300","36029002300",{F164544E-B631-43C3-8827-41885F756BCB},0.0000000000000000000000000000000,205.0000000000000000000000000000000,1716.0000000000000000000000000000000,"+42.8872547","-078.8079605",G5020,66.0000000000000000000000000000000,"23",Census Tract 23,3131.0000000000000000000000000000000,45.0000000000000000000000000000000,1500.0000000000000000000000000000000,52.0000000000000000000000000000000,,0.0000853020963621345710246879346,0.0444535213515776170267734812569,"36","36","140",3336.0000000000000000000000000000000,"002300","002300",216.0000000000000000000000000000000,2922.0000000000000000000000000000000,Lovejoy,32.0000000000000000000000000000000
1538861.0000000000000000000000000000000,5.0000000000000000000000000000000,0.0000000000000000000000000000000,17591.0000000000000000000000000000000,3117.0000000000000000000000000000000,,"029","029",S,"36029003500","36029003500",{205274B3-2877-4945-8BC7-7F87E0B84BE6},0.0000000000000000000000000000000,94.0000000000000000000000000000000,1983.0000000000000000000000000000000,"+42.9088227","-078.8364554",G5020,68.0000000000000000000000000000000,"35",Census Tract 35,3217.0000000000000000000000000000000,60.0000000000000000000000000000000,1490.0000000000000000000000000000000,20.0000000000000000000000000000000,,0.0001715686730857646224990276096,0.0672336152790034419224340922483,"36","36","140",3311.0000000000000000000000000000000,"003500","003500",493.0000000000000000000000000000000,101.0000000000000000000000000000000,MLK Park,22.0000000000000000000000000000000
1052397.0000000000000000000000000000000,128.0000000000000000000000000000000,260.0000000000000000000000000000000,404521.0000000000000000000000000000000,601.0000000000000000000000000000000,,"029","029",S,"36029005802","36029005802",{AA66F829-36B4-45A8-95FC-4E1314ED9556},0.0000000000000000000000000000000,1132.0000000000000000000000000000000,2039.0000000000000000000000000000000,"+42.9517725","-078.9070471",G5020,256.0000000000000000000000000000000,"58.02",Census Tract 58.02,3749.0000000000000000000000000000000,34.0000000000000000000000000000000,1782.0000000000000000000000000000000,541.0000000000000000000000000000000,,0.0001150176760096654820716977063,0.0658363323035932451743335036554,"36","36","140",4881.0000000000000000000000000000000,"005802","005802",257.0000000000000000000000000000000,3095.0000000000000000000000000000000,Riverside,10.0000000000000000000000000000000
477795.0000000000000000000000000000000,8.0000000000000000000000000000000,55.0000000000000000000000000000000,0.0000000000000000000000000000000,527.0000000000000000000000000000000,,"029","029",S,"36029006201","36029006201",{A1F3D562-E3FE-4DB3-8646-90D7837C1788},1.0000000000000000000000000000000,199.0000000000000000000000000000000,0.0000000000000000000000000000000,"+42.9341905","-078.8834970",G5020,54.0000000000000000000000000000000,"62.01",Census Tract 62.01,1350.0000000000000000000000000000000,8.0000000000000000000000000000000,0.0000000000000000000000000000000,70.0000000000000000000000000000000,,0.0000526893070215194103894998379,0.0320683969135930890814734084415,"36","36","140",1549.0000000000000000000000000000000,"006201","006201",0.0000000000000000000000000000000,834.0000000000000000000000000000000,Elmwood Bidwell,7.0000000000000000000000000000000
1199024.0000000000000000000000000000000,12.0000000000000000000000000000000,95.0000000000000000000000000000000,0.0000000000000000000000000000000,4705.0000000000000000000000000000000,,"029","029",S,"36029004300","36029004300",{29BC4065-8C01-45B9-B3DC-31BB979A6C30},1.0000000000000000000000000000000,201.0000000000000000000000000000000,2615.0000000000000000000000000000000,"+42.9447596","-078.8071734",G5020,175.0000000000000000000000000000000,"43",Census Tract 43,5774.0000000000000000000000000000000,67.0000000000000000000000000000000,2274.0000000000000000000000000000000,65.0000000000000000000000000000000,,0.0001322454447113578725366000999,0.0500406839223899585489263586169,"36","36","140",5975.0000000000000000000000000000000,"004300","004300",341.0000000000000000000000000000000,922.0000000000000000000000000000000,Kensington-Bailey,16.0000000000000000000000000000000
1213159.0000000000000000000000000000000,1.0000000000000000000000000000000,396.0000000000000000000000000000000,0.0000000000000000000000000000000,179.0000000000000000000000000000000,,"029","029",S,"36029004602","36029004602",{BE8C9813-E4F7-41EC-95F6-893A15C8024E},2.0000000000000000000000000000000,79.0000000000000000000000000000000,1.0000000000000000000000000000000,"+42.9544540","-078.8143912",G5020,48.0000000000000000000000000000000,"46.02",Census Tract 46.02,1295.0000000000000000000000000000000,72.0000000000000000000000000000000,1.0000000000000000000000000000000,36.0000000000000000000000000000000,,0.0001338257221870353935039288373,0.0576033249928545529328083318887,"36","36","140",1374.0000000000000000000000000000000,"004602","004602",0.0000000000000000000000000000000,712.0000000000000000000000000000000,University Heights,15.0000000000000000000000000000000
956845.0000000000000000000000000000000,68.0000000000000000000000000000000,48.0000000000000000000000000000000,0.0000000000000000000000000000000,504.0000000000000000000000000000000,,"029","029",S,"36029005700","36029005700",{ED4EEB37-ABDD-4B29-9025-C5E55A1DC95C},1.0000000000000000000000000000000,791.0000000000000000000000000000000,1345.0000000000000000000000000000000,"+42.9497231","-078.8992508",G5020,154.0000000000000000000000000000000,"57",Census Tract 57,2132.0000000000000000000000000000000,5.0000000000000000000000000000000,1168.0000000000000000000000000000000,256.0000000000000000000000000000000,,0.0001055433403086896912426162487,0.0487802135194787406247129979420,"36","36","140",2923.0000000000000000000000000000000,"005700","005700",177.0000000000000000000000000000000,1892.0000000000000000000000000000000,Riverside,10.0000000000000000000000000000000
1399717.0000000000000000000000000000000,30.0000000000000000000000000000000,16.0000000000000000000000000000000,126878.0000000000000000000000000000000,138.0000000000000000000000000000000,,"029","029",S,"36029001100","36029001100",{B476E761-6CE9-4091-B3C5-A2F203440425},1.0000000000000000000000000000000,211.0000000000000000000000000000000,1575.0000000000000000000000000000000,"+42.8626272","-078.8154183",G5020,82.0000000000000000000000000000000,"11",Census Tract 11,2943.0000000000000000000000000000000,30.0000000000000000000000000000000,1398.0000000000000000000000000000000,30.0000000000000000000000000000000,,0.0001681546579816214481012393023,0.0675008842841269413037608160266,"36","36","140",3154.0000000000000000000000000000000,"001100","001100",177.0000000000000000000000000000000,2857.0000000000000000000000000000000,Seneca-Cazenovia,33.0000000000000000000000000000000
1416421.0000000000000000000000000000000,17.0000000000000000000000000000000,74.0000000000000000000000000000000,0.0000000000000000000000000000000,1870.0000000000000000000000000000000,,"029","029",S,"36029003000","36029003000",{61C3AF49-0AF1-41BB-B6D2-18E5A2D53167},0.0000000000000000000000000000000,178.0000000000000000000000000000000,1381.0000000000000000000000000000000,"+42.9035782","-078.8059455",G5020,77.0000000000000000000000000000000,"30",Census Tract 30,2476.0000000000000000000000000000000,50.0000000000000000000000000000000,1107.0000000000000000000000000000000,66.0000000000000000000000000000000,,0.0001561207548432164864734422727,0.0534682793999725208822226818484,"36","36","140",2654.0000000000000000000000000000000,"003000","003000",274.0000000000000000000000000000000,550.0000000000000000000000000000000,Schiller Park,24.0000000000000000000000000000000
691272.0000000000000000000000000000000,84.0000000000000000000000000000000,117.0000000000000000000000000000000,0.0000000000000000000000000000000,294.0000000000000000000000000000000,,"029","029",S,"36029005801","36029005801",{CBF8CF13-DE2B-4763-9EE6-844B1183B4D1},4.0000000000000000000000000000000,632.0000000000000000000000000000000,1525.0000000000000000000000000000000,"+42.9611512","-078.9004612",G5020,142.0000000000000000000000000000000,"58.01",Census Tract 58.01,2734.0000000000000000000000000000000,37.0000000000000000000000000000000,1393.0000000000000000000000000000000,182.0000000000000000000000000000000,,0.0000762632169110023143757115527,0.0422764734466186190009473477858,"36","36","140",3366.0000000000000000000000000000000,"005801","005801",132.0000000000000000000000000000000,2543.0000000000000000000000000000000,Riverside,10.0000000000000000000000000000000
865764.0000000000000000000000000000000,37.0000000000000000000000000000000,62.0000000000000000000000000000000,0.0000000000000000000000000000000,488.0000000000000000000000000000000,,"029","029",S,"36029006800","36029006800",{B58F4ECD-6675-4DCC-9972-1EF64692F98D},0.0000000000000000000000000000000,364.0000000000000000000000000000000,2406.0000000000000000000000000000000,"+42.8985530","-078.8761113",G5020,107.0000000000000000000000000000000,"68",Census Tract 68,3016.0000000000000000000000000000000,16.0000000000000000000000000000000,2039.0000000000000000000000000000000,129.0000000000000000000000000000000,,0.0000954184374801108942283633940,0.0425717972184920662170881655584,"36","36","140",3380.0000000000000000000000000000000,"006800","006800",367.0000000000000000000000000000000,2557.0000000000000000000000000000000,Allentown,3.0000000000000000000000000000000
620221.0000000000000000000000000000000,3.0000000000000000000000000000000,7.0000000000000000000000000000000,0.0000000000000000000000000000000,2500.0000000000000000000000000000000,,"029","029",S,"36029003800","36029003800",{3B3D33F6-42D2-49AD-989B-F654BD4020B8},0.0000000000000000000000000000000,105.0000000000000000000000000000000,1323.0000000000000000000000000000000,"+42.9168115","-078.8018266",G5020,65.0000000000000000000000000000000,"38",Census Tract 38,3003.0000000000000000000000000000000,63.0000000000000000000000000000000,1141.0000000000000000000000000000000,44.0000000000000000000000000000000,,0.0000683763415157182766635629578,0.0400820773032953062142702549409,"36","36","140",3108.0000000000000000000000000000000,"003800","003800",182.0000000000000000000000000000000,489.0000000000000000000000000000000,Schiller Park,24.0000000000000000000000000000000
